equipe,nb_matchs,nb_victoires
Evil Geniuses,48,23
100 Thieves,42,16
Redemption eSports Porto Alegre,30,8
INTZ,53,28
Joy Dream,61,43
Oh My Dream,63,28
Fnatic,49,29
Origen,42,22
Rogue Warriors,65,24
Victory Five,75,28
Pentanet.GG,46,19
ORDER,53,30
LNG Academy,55,13
Young Miracles,58,29
Team oNe eSports,46,23
Intergalaxy Tigers Gaming,14,1
SANDBOX Gaming,82,33
DRX,97,60
Rogue,50,30
SK Gaming,28,7
SeolHaeOne Prince,74,22
Team WE,78,38
eStar,70,30
Hanwha Life Esports,76,22
Gen.G,87,57
FunPlus Phoenix,92,53
Invictus Gaming,84,45
Royal Club,50,23
Team WE Academy,67,41
Suning,85,45
Royal Never Give Up,73,38
Beşiktaş Esports,36,14
1907 Fenerbahçe Esports,36,24
FlyQuest Academy,29,11
TSM Academy,40,24
Legend Esport Gaming,65,33
Team Flash,89,55
Team Secret,62,35
LNG Esports,69,27
Nova Esports,40,14
J Team,48,28
Chiefs Esports Club,56,36
Gravitas,34,7
PSG Talon,30,20
Liyab Esports,30,9
Team Vitality,31,8
Misfits Gaming,32,15
Beşiktaş Academy,31,13
1907 Fenerbahçe Academy,31,15
V5 87,59,27
Top Esports Challenger,52,31
Samsung Morning Stars,3,1
FC Schalke 04 Evolution,5,3
Pixel Esports Club,22,7
Furious Gaming,25,6
ahq eSports Club,54,35
Talon Esports,41,25
MAD Lions,51,27
JingNetGame,53,23
Bilibili Gaming Junior,57,22
IZI Dream,22,4
Solary,23,10
Oh My God,71,26
eStar Young,63,41
Afreeca Freecs,86,42
Machi Esports,64,46
LinGan e-Sports,63,12
FunPlus Phoenix Blaze,71,50
Gambit Esports,30,17
CrowCrowd,26,13
DAMWON Gaming,79,53
Bilibili Gaming,67,34
RunAway,35,17
Element Mystic,64,26
Victorious Gaming,54,12
Jin Air Green Wings,65,35
Seorabeol Gaming,35,19
All Combo,62,29
GAM Esports,81,53
CERBERUS Esports,60,31
Cyber Gaming,6,0
Electronik Generation,5,3
Shu Dai Xiong Gaming,80,49
Vici Gaming Potential,72,40
EDG Youth Team,64,33
Dominus Esports Young,67,33
ESC Shane,28,11
Legacy Genesis,9,4
RMIT Redbacks,10,2
Vega Squadron,25,6
One Breath Gaming,9,5
Dominus Esports,51,15
LGD Gaming,87,41
Flamengo Esports,39,23
Prodigy Esports,41,21
Team AURORA,39,14
Galakticos,34,17
Dragon Army,21,7
Team AURORA Academy,40,22
5 Ronin Academy,30,12
WanZhen Esports Club,57,25
Golden Guardians Academy,34,15
Immortals Academy,29,13
T1,88,58
Top Esports,90,65
QUT Tigers,14,6
UQ Union,16,9
Awesome Spear,33,25
OZ Gaming,61,28
Royal Youth,27,5
