gameid,league,blueteam,redteam,bluetop,bluejungle,bluemid,blueadc,bluesupport,redtop,redjungle,redmid,redadc,redsupport,result
ESPORTSTMNT02/1271091,LCS,Evil Geniuses,100 Thieves,Mordekaiser,LeeSin,Leblanc,Senna,TahmKench,Aatrox,Olaf,Ryze,Xayah,Rakan,1
ESPORTSTMNT03/1331442,CBLOL,Redemption eSports Porto Alegre,INTZ,Sett,Taliyah,Nautilus,MissFortune,Braum,Camille,RekSai,Zoe,Aphelios,Thresh,0
6300-7961,LDL,Joy Dream,Oh My Dream,Ornn,RekSai,TwistedFate,Ezreal,Nautilus,Sylas,Graves,Zoe,Kaisa,Yuumi,1
ESPORTSTMNT05/1440458,LEC,Fnatic,Origen,Ornn,LeeSin,Diana,Senna,Zilean,Gangplank,Olaf,Rumble,Ezreal,Yuumi,1
5989-7391,LPL,Rogue Warriors,Victory Five,Ornn,JarvanIV,Zoe,Aphelios,Volibear,Aatrox,Elise,Lucian,Senna,Pantheon,1
ESPORTSTMNT03/1333677,OPL,Pentanet.GG,ORDER,Soraka,JarvanIV,Syndra,Aphelios,Rakan,Sett,Karthus,Irelia,MissFortune,Thresh,0
6265-7842,LDL,LNG Academy,Young Miracles,Ornn,Graves,Syndra,Ezreal,Nautilus,Renekton,Nunu,Qiyana,Kalista,Leona,0
ESPORTSTMNT03/1352625,BRCC,Team oNe eSports,Intergalaxy Tigers Gaming,Maokai,Trundle,Azir,Syndra,Nautilus,Sylas,Elise,Talon,Kalista,Rakan,1
ESPORTSTMNT02/1332216,LCK,SANDBOX Gaming,DRX,Sylas,Gragas,Aatrox,Aphelios,Nautilus,Ornn,Trundle,Lucian,Ezreal,Yuumi,1
ESPORTSTMNT05/1400210,LEC,Rogue,SK Gaming,Aatrox,LeeSin,Ryze,Aphelios,Braum,Sett,Gragas,Viktor,Ezreal,TahmKench,1
ESPORTSTMNT01/1435174,LCK,SeolHaeOne Prince,SANDBOX Gaming,Volibear,Nidalee,Leblanc,Kaisa,Alistar,Kennen,Olaf,Sylas,Ezreal,Leona,0
6124-7712,LPL,Team WE,eStar,Renekton,Olaf,Galio,Aphelios,Nautilus,Ornn,LeeSin,Rumble,Varus,Sett,1
ESPORTSTMNT01/1380456,CBLOL,Team oNe eSports,INTZ,Renekton,Elise,Corki,Syndra,Nautilus,Mordekaiser,RekSai,Kassadin,MissFortune,Thresh,0
