gameid,league,blueteam,redteam,bluetop,bluejungle,bluemid,blueadc,bluesupport,redtop,redjungle,redmid,redadc,redsupport
ESPORTSTMNT03/1415373,CK,ESC Shane,Awesome Spear,Kennen,Trundle,Azir,Varus,Karma,Lucian,Nidalee,Ekko,Aphelios,Nautilus
ESPORTSTMNT03/1441932,OPL,Chiefs Esports Club,ORDER,Lillia,Kayn,Leblanc,Ashe,Nautilus,Renekton,Olaf,Orianna,Ezreal,Bard
ESPORTSTMNT01/1360817,LLA,Isurus,All Knights,Ornn,Graves,Zoe,Varus,Nautilus,Sett,Sejuani,Azir,Kalista,Thresh
ESPORTSTMNT02/1333365,LCK,KT Rolster,SeolHaeOne Prince,Gangplank,Elise,Azir,Kalista,Thresh,Ornn,Trundle,Ekko,Ezreal,Taric
ESPORTSTMNT03/1324579,VCS,V Gaming Adonis,CERBERUS Esports,Ornn,XinZhao,Lucian,Varus,TahmKench,Sylas,Elise,Tristana,Kalista,Thresh
ESPORTSTMNT06/1320688,LEC,MAD Lions,FC Schalke 04 Esports,Ornn,Sett,Akali,Jhin,Nautilus,Renekton,Sejuani,Orianna,Ashe,TahmKench
ESPORTSTMNT02/1403916,LCK,DRX,SANDBOX Gaming,Kennen,Volibear,Sylas,Ashe,Morgana,Lucian,Graves,Azir,Caitlyn,Lulu
5981-7372,LPL,Invictus Gaming,LGD Gaming,Rumble,Nidalee,Lucian,Varus,Braum,Maokai,Gragas,Qiyana,MissFortune,Thresh
6170-7775,LDL,All Combo,EDG Youth Team,Kennen,Trundle,Leblanc,Aphelios,Leona,Aatrox,Graves,Kassadin,Varus,Alistar
5975-7357,LPL,Rogue Warriors,EDward Gaming,Renekton,Trundle,Azir,Aphelios,Thresh,Mordekaiser,JarvanIV,Zoe,MissFortune,Braum
6528-8773,LDL,Oh My Dream,LNG Academy,Camille,Karthus,Talon,Ezreal,Bard,Jax,Ekko,Qiyana,Kalista,Taric
6467-8547,LDL,Team WE Academy,optical spectrum E-sports,Renekton,Graves,Syndra,Ashe,Braum,Mordekaiser,LeeSin,Vladimir,Jhin,Nautilus
6376-8227,LDL,Victorious Gaming,Dominus Esports Young,Gnar,Graves,Karma,Senna,MonkeyKing,Volibear,Khazix,Syndra,Ezreal,Yuumi
ESPORTSTMNT06/1170030,TRA,Team AURORA Academy,Galakticos Academy,Sett,Olaf,Mordekaiser,MissFortune,Nautilus,Ornn,Elise,Cassiopeia,Aphelios,Braum
ESPORTSTMNT01/1321408,CBLOL,KaBuM! e-Sports,Prodigy Esports,Rumble,Graves,Syndra,Aphelios,Braum,Renekton,Elise,Zoe,Varus,Nautilus
ESPORTSTMNT05/1520504,TRA,İstanbul Wildcats Academy,Beşiktaş Academy,Gragas,MonkeyKing,Orianna,Ezreal,Yuumi,Ornn,Sett,TwistedFate,Aphelios,Thresh
ESPORTSTMNT02/1413011,LCS.A,TSM Academy,Golden Guardians Academy,Camille,Olaf,Leblanc,Senna,Bard,Shen,Graves,Corki,Ashe,Karma
ESPORTSTMNT03/1441003,LJL,Fukuoka SoftBank Hawks gaming,Crest Gaming Act,Volibear,RekSai,Akali,Ezreal,Leona,Renekton,Trundle,Sylas,Jhin,Nautilus
ESPORTSTMNT02/1411908,LCS,Golden Guardians,Counter Logic Gaming,Kennen,Sett,TwistedFate,Aphelios,Bard,Maokai,Volibear,Ryze,Kalista,Morgana
ESPORTSTMNT04/1220728,LEC,SK Gaming,Origen,Ornn,Sett,Azir,Ezreal,Thresh,Aatrox,Gragas,Orianna,MissFortune,Nautilus
ESPORTSTMNT03/1442023,LJL,V3 Esports,Sengoku Gaming,Volibear,Lillia,Leblanc,Kalista,Nautilus,Gnar,Graves,Azir,Ezreal,Leona
6398-8308,LDL,Royal Club,Vici Gaming Potential,MonkeyKing,Karthus,Sett,Varus,Nautilus,Gangplank,Nidalee,TwistedFate,Ezreal,Leona
ESPORTSTMNT01/1325157,LCK,Afreeca Freecs,SANDBOX Gaming,Sett,Sejuani,Pantheon,Lucian,Yuumi,Aatrox,JarvanIV,Azir,MissFortune,Karma
ESPORTSTMNT02/1324666,CK,Jin Air Green Wings,hyFresh Blade,Aatrox,JarvanIV,Syndra,Ezreal,Braum,Ornn,Kindred,Karma,Varus,Thresh
5659-7259,LPL,Vici Gaming,Bilibili Gaming,Ornn,Gragas,Jayce,MissFortune,Leona,Fiora,Elise,Qiyana,Senna,Braum
6562-8871,LDL,Legend Esport Gaming,Top Esports Challenger,Gangplank,Nidalee,Akali,Ezreal,Nautilus,Lucian,Volibear,Sett,Kaisa,Leona
6166-7756,LDL,Suning-S,Young Miracles,Aatrox,Trundle,Leblanc,Varus,TahmKench,Camille,JarvanIV,Lissandra,Xayah,Thresh
5663-7270,LPL,eStar,FunPlus Phoenix,Kennen,JarvanIV,Rumble,MissFortune,Leona,Camille,Qiyana,Mordekaiser,Kaisa,Nautilus
ESPORTSTMNT01/1432453,CBLOL,Prodigy Esports,paiN Gaming,Renekton,Elise,TwistedFate,Aphelios,Bard,Mordekaiser,LeeSin,Syndra,Ashe,Rakan
6702-8981,WCS,LGD Gaming,Invictus Gaming,Volibear,Graves,Ekko,Ezreal,Leona,Ornn,LeeSin,Syndra,Jhin,TahmKench
ESPORTSTMNT04/1210005,TCL,1907 Fenerbahçe Esports,İstanbul Wildcats,Renekton,LeeSin,Syndra,Kalista,Nautilus,Aatrox,Gragas,Yasuo,MissFortune,Braum
6603-8357,LPL,Suning,Bilibili Gaming,MonkeyKing,Graves,Syndra,Senna,TahmKench,Mordekaiser,Trundle,Orianna,Ashe,Thresh
ESPORTSTMNT05/1540460,LCL,Gambit Esports,Dragon Army,Sylas,Khazix,Pantheon,Caitlyn,Thresh,Ornn,Shyvana,Jayce,Ezreal,Karma
ESPORTSTMNT03/1321216,LLA,Isurus,Pixel Esports Club,Gangplank,LeeSin,Ekko,TahmKench,Senna,Jax,JarvanIV,Corki,Ziggs,Karma
6243-8084,LPL,Top Esports,EDward Gaming,Jayce,RekSai,Ekko,Aphelios,Yuumi,Camille,LeeSin,Syndra,Senna,Maokai
ESPORTSTMNT04/1120126,LEC,Origen,Rogue,Aatrox,Gragas,Tristana,Syndra,Nautilus,Sett,Olaf,Azir,MissFortune,Leona
ESPORTSTMNT02/1405151,LCK,KT Rolster,SeolHaeOne Prince,Jayce,Sett,Sylas,Caitlyn,Bard,Gnar,Nidalee,Qiyana,Ashe,Rumble
ESPORTSTMNT05/1430674,LEC,Fnatic,MAD Lions,Maokai,RekSai,Azir,Senna,Thresh,Ornn,LeeSin,Zoe,Aphelios,Zilean
ESPORTSTMNT01/1423793,CK,Griffin,RunAway,Volibear,MonkeyKing,Galio,Ezreal,Leona,Mordekaiser,Olaf,Leblanc,Aphelios,Thresh
ESPORTSTMNT06/1270392,LCL,Vega Squadron,Dragon Army,Ornn,Shyvana,Jayce,Ezreal,Nautilus,Volibear,Olaf,Karma,Aphelios,Lulu
ESPORTSTMNT01/1415485,LJL,Burning Core,Rascal Jester,Maokai,Kindred,Lulu,Aphelios,Sett,MonkeyKing,Trundle,Malzahar,Varus,Nautilus
ESPORTSTMNT05/1520613,LEC,Excel Esports,Misfits Gaming,MonkeyKing,Volibear,TwistedFate,KogMaw,Thresh,Jax,Olaf,Orianna,Kaisa,Sett
6503-8684,LDL,Bilibili Gaming Junior,Vici Gaming Potential,Kennen,Graves,Sylas,Ezreal,Braum,Gangplank,Elise,Orianna,Draven,Sett
