gameid,league,blueteam,redteam,bluetop,bluejungle,bluemid,blueadc,bluesupport,redtop,redjungle,redmid,redadc,redsupport,bluetopattack,bluetopdefense,bluetopmagic,bluetopdifficulty,bluetopFighter,bluetopTank,bluetopMage,bluetopAssassin,bluetopSupport,bluetopMarksman,bluetophp,bluetophpperlevel,bluetopmp,bluetopmpperlevel,bluetopmovespeed,bluetoparmor,bluetoparmorperlevel,bluetopspellblock,bluetopspellblockperlevel,bluetopattackrange,bluetophpregen,bluetophpregenperlevel,bluetopmpregen,bluetopmpregenperlevel,bluetopattackdamage,bluetopattackdamageperlevel,bluetopattackspeedperlevel,bluetopattackspeed,bluejungleattack,bluejungledefense,bluejunglemagic,bluejungledifficulty,bluejungleFighter,bluejungleTank,bluejungleMage,bluejungleAssassin,bluejungleSupport,bluejungleMarksman,bluejunglehp,bluejunglehpperlevel,bluejunglemp,bluejunglempperlevel,bluejunglemovespeed,bluejunglearmor,bluejunglearmorperlevel,bluejunglespellblock,bluejunglespellblockperlevel,bluejungleattackrange,bluejunglehpregen,bluejunglehpregenperlevel,bluejunglempregen,bluejunglempregenperlevel,bluejungleattackdamage,bluejungleattackdamageperlevel,bluejungleattackspeedperlevel,bluejungleattackspeed,bluemidattack,bluemiddefense,bluemidmagic,bluemiddifficulty,bluemidFighter,bluemidTank,bluemidMage,bluemidAssassin,bluemidSupport,bluemidMarksman,bluemidhp,bluemidhpperlevel,bluemidmp,bluemidmpperlevel,bluemidmovespeed,bluemidarmor,bluemidarmorperlevel,bluemidspellblock,bluemidspellblockperlevel,bluemidattackrange,bluemidhpregen,bluemidhpregenperlevel,bluemidmpregen,bluemidmpregenperlevel,bluemidattackdamage,bluemidattackdamageperlevel,bluemidattackspeedperlevel,bluemidattackspeed,blueadcattack,blueadcdefense,blueadcmagic,blueadcdifficulty,blueadcFighter,blueadcTank,blueadcMage,blueadcAssassin,blueadcSupport,blueadcMarksman,blueadchp,blueadchpperlevel,blueadcmp,blueadcmpperlevel,blueadcmovespeed,blueadcarmor,blueadcarmorperlevel,blueadcspellblock,blueadcspellblockperlevel,blueadcattackrange,blueadchpregen,blueadchpregenperlevel,blueadcmpregen,blueadcmpregenperlevel,blueadcattackdamage,blueadcattackdamageperlevel,blueadcattackspeedperlevel,blueadcattackspeed,bluesupportattack,bluesupportdefense,bluesupportmagic,bluesupportdifficulty,bluesupportFighter,bluesupportTank,bluesupportMage,bluesupportAssassin,bluesupportSupport,bluesupportMarksman,bluesupporthp,bluesupporthpperlevel,bluesupportmp,bluesupportmpperlevel,bluesupportmovespeed,bluesupportarmor,bluesupportarmorperlevel,bluesupportspellblock,bluesupportspellblockperlevel,bluesupportattackrange,bluesupporthpregen,bluesupporthpregenperlevel,bluesupportmpregen,bluesupportmpregenperlevel,bluesupportattackdamage,bluesupportattackdamageperlevel,bluesupportattackspeedperlevel,bluesupportattackspeed,redtopattack,redtopdefense,redtopmagic,redtopdifficulty,redtopFighter,redtopTank,redtopMage,redtopAssassin,redtopSupport,redtopMarksman,redtophp,redtophpperlevel,redtopmp,redtopmpperlevel,redtopmovespeed,redtoparmor,redtoparmorperlevel,redtopspellblock,redtopspellblockperlevel,redtopattackrange,redtophpregen,redtophpregenperlevel,redtopmpregen,redtopmpregenperlevel,redtopattackdamage,redtopattackdamageperlevel,redtopattackspeedperlevel,redtopattackspeed,redjungleattack,redjungledefense,redjunglemagic,redjungledifficulty,redjungleFighter,redjungleTank,redjungleMage,redjungleAssassin,redjungleSupport,redjungleMarksman,redjunglehp,redjunglehpperlevel,redjunglemp,redjunglempperlevel,redjunglemovespeed,redjunglearmor,redjunglearmorperlevel,redjunglespellblock,redjunglespellblockperlevel,redjungleattackrange,redjunglehpregen,redjunglehpregenperlevel,redjunglempregen,redjunglempregenperlevel,redjungleattackdamage,redjungleattackdamageperlevel,redjungleattackspeedperlevel,redjungleattackspeed,redmidattack,redmiddefense,redmidmagic,redmiddifficulty,redmidFighter,redmidTank,redmidMage,redmidAssassin,redmidSupport,redmidMarksman,redmidhp,redmidhpperlevel,redmidmp,redmidmpperlevel,redmidmovespeed,redmidarmor,redmidarmorperlevel,redmidspellblock,redmidspellblockperlevel,redmidattackrange,redmidhpregen,redmidhpregenperlevel,redmidmpregen,redmidmpregenperlevel,redmidattackdamage,redmidattackdamageperlevel,redmidattackspeedperlevel,redmidattackspeed,redadcattack,redadcdefense,redadcmagic,redadcdifficulty,redadcFighter,redadcTank,redadcMage,redadcAssassin,redadcSupport,redadcMarksman,redadchp,redadchpperlevel,redadcmp,redadcmpperlevel,redadcmovespeed,redadcarmor,redadcarmorperlevel,redadcspellblock,redadcspellblockperlevel,redadcattackrange,redadchpregen,redadchpregenperlevel,redadcmpregen,redadcmpregenperlevel,redadcattackdamage,redadcattackdamageperlevel,redadcattackspeedperlevel,redadcattackspeed,redsupportattack,redsupportdefense,redsupportmagic,redsupportdifficulty,redsupportFighter,redsupportTank,redsupportMage,redsupportAssassin,redsupportSupport,redsupportMarksman,redsupporthp,redsupporthpperlevel,redsupportmp,redsupportmpperlevel,redsupportmovespeed,redsupportarmor,redsupportarmorperlevel,redsupportspellblock,redsupportspellblockperlevel,redsupportattackrange,redsupporthpregen,redsupporthpregenperlevel,redsupportmpregen,redsupportmpregenperlevel,redsupportattackdamage,redsupportattackdamageperlevel,redsupportattackspeedperlevel,redsupportattackspeed,ratio_victoire_blueteam,ratio_victoire_redteam,diff_ratio_victoire
ESPORTSTMNT03/1415373,CK,ESC Shane,Awesome Spear,Kennen,Trundle,Azir,Varus,Karma,Lucian,Nidalee,Ekko,Aphelios,Nautilus,6,4,7,4,0,0,1,0,0,1,541.0,84,200.0,0.0,335,29.0,3.75,30.0,0.5,550,5.5,0.65,50.0,0.0,48.0,3.75,3.4,0.625,7,6,2,5,1,1,0,0,0,0,616.0,96,281.0,45.0,350,37.0,2.7,32.1,1.25,175,6.0,0.75,7.5,0.6,68.0,3.0,2.9,0.67,6,3,8,9,0,0,1,0,0,1,552.0,92,480.0,21.0,335,19.04,3.0,30.0,0.5,525,7.0,0.75,8.0,0.8,52.0,2.8,3.0,0.625,7,3,4,2,0,0,1,0,0,1,530.0,91,360.0,33.0,330,27.0,3.4,30.0,0.5,575,3.5,0.55,8.0,0.8,61.0,3.0,3.0,0.658,1,7,8,5,0,0,1,0,1,0,534.0,95,374.0,50.0,335,26.0,3.8,30.0,0.5,525,5.5,0.55,11.5,0.5,53.544,3.3,2.3,0.625,8,5,3,6,0,0,0,0,0,1,571.0,86,348.88,38.0,335,28.0,3.0,30.0,0.5,500,3.75,0.65,8.176,0.7,64.0,2.75,3.3,0.638,5,4,7,8,0,0,1,1,0,0,545.0,85,295.6,45.0,335,28.0,3.5,30.0,0.5,525,6.0,0.6,6.0,0.8,61.0,3.5,3.22,0.638,5,3,7,8,1,0,0,1,0,0,585.0,85,280.0,50.0,340,32.0,3.0,32.0,1.25,125,9.0,0.9,7.0,0.8,58.0,3.0,3.3,0.688,6,2,1,10,0,0,0,0,0,1,530.0,88,348.0,42.0,325,28.0,3.0,26.0,0.5,550,3.25,0.55,6.5,0.4,57.0,2.0,2.1,0.64,4,6,6,6,1,1,0,0,0,0,576.48,86,400.0,47.0,325,39.0,3.75,32.1,1.25,175,8.5,0.55,8.626,0.5,61.0,3.3,1.0,0.706,0.4791666666666667,0.38095238095238093,0.09821428571428575
ESPORTSTMNT03/1441932,OPL,Chiefs Esports Club,ORDER,Lillia,Kayn,Leblanc,Ashe,Nautilus,Renekton,Olaf,Orianna,Ezreal,Bard,0,2,10,8,1,0,1,0,0,0,580.0,90,410.0,50.0,330,20.0,4.0,32.1,0.75,325,9.0,0.75,11.5,0.95,61.0,3.1,2.7,0.625,10,6,1,8,1,0,0,1,0,0,585.0,85,410.0,50.0,340,38.0,3.3,32.1,1.25,175,8.0,0.75,11.5,0.95,68.0,3.3,2.7,0.669,1,4,10,9,0,0,1,1,0,0,528.0,92,334.0,50.0,340,21.88,3.5,30.0,0.5,525,7.5,0.55,6.0,0.8,54.88,3.5,1.4,0.625,7,3,2,4,0,0,0,0,1,1,570.0,87,280.0,32.0,325,26.0,3.4,30.0,0.5,600,3.5,0.55,6.972,0.4,61.0,2.96,3.33,0.658,4,6,6,6,1,1,0,0,0,0,576.48,86,400.0,47.0,325,39.0,3.75,32.1,1.25,175,8.5,0.55,8.626,0.5,61.0,3.3,1.0,0.706,8,5,2,3,1,1,0,0,0,0,575.0,87,100.0,0.0,345,35.0,4.0,32.1,1.25,125,8.0,0.75,0.0,0.0,69.0,3.75,2.75,0.665,9,5,3,3,1,1,0,0,0,0,597.24,93,315.6,42.0,350,35.0,3.0,32.1,1.25,125,8.5,0.9,7.466,0.575,68.0,3.5,2.7,0.694,4,3,9,7,0,0,1,0,1,0,530.0,91,418.0,25.0,325,17.04,3.0,26.0,0.5,525,7.0,0.55,8.0,0.8,40.368,2.6,3.5,0.658,7,2,6,7,0,0,1,0,0,1,530.0,88,375.0,50.0,325,22.0,3.5,30.0,0.5,550,4.0,0.55,8.5,0.65,60.0,2.5,2.5,0.625,4,4,5,9,0,0,1,0,1,0,560.0,89,350.0,50.0,330,34.0,4.0,30.0,0.5,500,5.5,0.55,6.0,0.45,52.0,3.0,2.0,0.625,0.26666666666666666,0.5283018867924528,-0.26163522012578616
ESPORTSTMNT01/1360817,LLA,Isurus,All Knights,Ornn,Graves,Zoe,Varus,Nautilus,Sett,Sejuani,Azir,Kalista,Thresh,5,9,3,5,1,1,0,0,0,0,590.0,95,340.6,45.0,335,33.0,4.0,32.1,1.25,175,9.0,0.9,8.01,0.6,69.0,3.5,2.0,0.625,8,5,3,3,0,0,0,0,0,1,555.0,92,325.0,40.0,340,33.0,3.4,32.0,1.25,425,8.0,0.7,8.0,0.7,68.0,3.0,2.6,0.475,1,7,8,5,0,0,1,0,1,0,560.0,92,425.0,25.0,340,20.8,3.5,30.0,0.5,550,6.5,0.6,8.0,0.65,58.0,3.3,2.5,0.625,7,3,4,2,0,0,1,0,0,1,530.0,91,360.0,33.0,330,27.0,3.4,30.0,0.5,575,3.5,0.55,8.0,0.8,61.0,3.0,3.0,0.658,4,6,6,6,1,1,0,0,0,0,576.48,86,400.0,47.0,325,39.0,3.75,32.1,1.25,175,8.5,0.55,8.626,0.5,61.0,3.3,1.0,0.706,8,5,1,2,1,1,0,0,0,0,600.0,93,0.0,0.0,340,33.0,4.0,32.0,1.25,125,7.0,0.5,0.0,0.0,60.0,4.0,1.75,0.625,5,7,6,4,1,1,0,0,0,0,560.0,100,400.0,40.0,340,34.0,4.25,32.1,1.25,150,8.5,1.0,7.0,0.7,66.0,4.0,3.5,0.688,6,3,8,9,0,0,1,0,0,1,552.0,92,480.0,21.0,335,19.04,3.0,30.0,0.5,525,7.0,0.75,8.0,0.8,52.0,2.8,3.0,0.625,8,2,4,7,0,0,0,0,0,1,534.0,100,250.0,45.0,325,21.0,4.0,30.0,0.5,525,3.75,0.55,6.3,0.4,69.0,3.5,4.0,0.694,5,6,6,7,1,0,0,0,1,0,560.52,93,273.92,44.0,335,28.0,0.0,30.0,0.5,450,7.0,0.55,6.0,0.8,56.0,2.2,3.5,0.625,0.7049180327868853,0.4444444444444444,0.26047358834244083
ESPORTSTMNT02/1333365,LCK,KT Rolster,SeolHaeOne Prince,Gangplank,Elise,Azir,Kalista,Thresh,Ornn,Trundle,Ekko,Ezreal,Taric,7,6,4,9,1,0,0,0,0,0,540.0,82,282.0,40.0,345,35.0,3.0,32.1,1.25,125,6.0,0.6,7.5,0.7,64.0,3.0,3.2,0.658,6,5,7,9,1,0,1,0,0,0,534.0,93,324.0,50.0,330,27.0,3.35,30.0,0.5,550,5.5,0.6,6.0,0.8,55.0,3.0,1.75,0.625,6,3,8,9,0,0,1,0,0,1,552.0,92,480.0,21.0,335,19.04,3.0,30.0,0.5,525,7.0,0.75,8.0,0.8,52.0,2.8,3.0,0.625,8,2,4,7,0,0,0,0,0,1,534.0,100,250.0,45.0,325,21.0,4.0,30.0,0.5,525,3.75,0.55,6.3,0.4,69.0,3.5,4.0,0.694,5,6,6,7,1,0,0,0,1,0,560.52,93,273.92,44.0,335,28.0,0.0,30.0,0.5,450,7.0,0.55,6.0,0.8,56.0,2.2,3.5,0.625,5,9,3,5,1,1,0,0,0,0,590.0,95,340.6,45.0,335,33.0,4.0,32.1,1.25,175,9.0,0.9,8.01,0.6,69.0,3.5,2.0,0.625,7,6,2,5,1,1,0,0,0,0,616.0,96,281.0,45.0,350,37.0,2.7,32.1,1.25,175,6.0,0.75,7.5,0.6,68.0,3.0,2.9,0.67,5,3,7,8,1,0,0,1,0,0,585.0,85,280.0,50.0,340,32.0,3.0,32.0,1.25,125,9.0,0.9,7.0,0.8,58.0,3.0,3.3,0.688,7,2,6,7,0,0,1,0,0,1,530.0,88,375.0,50.0,325,22.0,3.5,30.0,0.5,550,4.0,0.55,8.5,0.65,60.0,2.5,2.5,0.625,4,8,5,3,1,0,0,0,1,0,575.0,85,300.0,60.0,340,40.0,3.4,32.1,1.25,150,6.0,0.5,8.5,0.8,55.0,3.5,2.0,0.625,0.5918367346938775,0.5238095238095238,0.0680272108843537
ESPORTSTMNT03/1324579,VCS,V Gaming Adonis,CERBERUS Esports,Ornn,XinZhao,Lucian,Varus,TahmKench,Sylas,Elise,Tristana,Kalista,Thresh,5,9,3,5,1,1,0,0,0,0,590.0,95,340.6,45.0,335,33.0,4.0,32.1,1.25,175,9.0,0.9,8.01,0.6,69.0,3.5,2.0,0.625,8,6,3,2,1,0,0,1,0,0,570.0,92,273.8,35.0,345,35.0,3.5,32.1,1.25,175,8.0,0.7,7.256,0.45,66.0,3.0,3.5,0.645,8,5,3,6,0,0,0,0,0,1,571.0,86,348.88,38.0,335,28.0,3.0,30.0,0.5,500,3.75,0.65,8.176,0.7,64.0,2.75,3.3,0.638,7,3,4,2,0,0,1,0,0,1,530.0,91,360.0,33.0,330,27.0,3.4,30.0,0.5,575,3.5,0.55,8.0,0.8,61.0,3.0,3.0,0.658,3,9,6,5,0,1,0,0,1,0,600.0,100,325.0,40.0,335,47.0,3.5,32.1,1.25,175,6.5,0.55,8.0,1.0,56.0,3.2,2.5,0.658,3,4,8,5,0,0,1,1,0,0,525.0,115,280.0,50.0,340,27.0,4.0,32.0,1.75,175,9.0,0.9,7.0,0.8,61.0,3.0,3.5,0.645,6,5,7,9,1,0,1,0,0,0,534.0,93,324.0,50.0,330,27.0,3.35,30.0,0.5,550,5.5,0.6,6.0,0.8,55.0,3.0,1.75,0.625,9,3,5,4,0,0,0,1,0,1,559.0,88,250.0,32.0,325,26.0,3.0,30.0,0.5,525,3.75,0.65,7.2,0.45,61.0,3.3,1.5,0.656,8,2,4,7,0,0,0,0,0,1,534.0,100,250.0,45.0,325,21.0,4.0,30.0,0.5,525,3.75,0.55,6.3,0.4,69.0,3.5,4.0,0.694,5,6,6,7,1,0,0,0,1,0,560.52,93,273.92,44.0,335,28.0,0.0,30.0,0.5,450,7.0,0.55,6.0,0.8,56.0,2.2,3.5,0.625,0.36923076923076925,0.37333333333333335,-0.004102564102564099
ESPORTSTMNT06/1320688,LEC,MAD Lions,FC Schalke 04 Esports,Ornn,Sett,Akali,Jhin,Nautilus,Renekton,Sejuani,Orianna,Ashe,TahmKench,5,9,3,5,1,1,0,0,0,0,590.0,95,340.6,45.0,335,33.0,4.0,32.1,1.25,175,9.0,0.9,8.01,0.6,69.0,3.5,2.0,0.625,8,5,1,2,1,1,0,0,0,0,600.0,93,0.0,0.0,340,33.0,4.0,32.0,1.25,125,7.0,0.5,0.0,0.0,60.0,4.0,1.75,0.625,5,3,8,7,0,0,0,1,0,0,575.0,95,200.0,0.0,345,23.0,3.5,37.0,1.25,125,8.0,0.5,50.0,0.0,62.4,3.3,3.2,0.625,10,2,6,6,0,0,1,0,0,1,585.0,93,300.0,50.0,330,24.0,3.5,30.0,0.5,550,3.75,0.55,6.0,0.8,59.0,4.7,0.0,0.625,4,6,6,6,1,1,0,0,0,0,576.48,86,400.0,47.0,325,39.0,3.75,32.1,1.25,175,8.5,0.55,8.626,0.5,61.0,3.3,1.0,0.706,8,5,2,3,1,1,0,0,0,0,575.0,87,100.0,0.0,345,35.0,4.0,32.1,1.25,125,8.0,0.75,0.0,0.0,69.0,3.75,2.75,0.665,5,7,6,4,1,1,0,0,0,0,560.0,100,400.0,40.0,340,34.0,4.25,32.1,1.25,150,8.5,1.0,7.0,0.7,66.0,4.0,3.5,0.688,4,3,9,7,0,0,1,0,1,0,530.0,91,418.0,25.0,325,17.04,3.0,26.0,0.5,525,7.0,0.55,8.0,0.8,40.368,2.6,3.5,0.658,7,3,2,4,0,0,0,0,1,1,570.0,87,280.0,32.0,325,26.0,3.4,30.0,0.5,600,3.5,0.55,6.972,0.4,61.0,2.96,3.33,0.658,3,9,6,5,0,1,0,0,1,0,600.0,100,325.0,40.0,335,47.0,3.5,32.1,1.25,175,6.5,0.55,8.0,1.0,56.0,3.2,2.5,0.658,0.41304347826086957,0.5660377358490566,-0.15299425758818702
ESPORTSTMNT02/1403916,LCK,DRX,SANDBOX Gaming,Kennen,Volibear,Sylas,Ashe,Morgana,Lucian,Graves,Azir,Caitlyn,Lulu,6,4,7,4,0,0,1,0,0,1,541.0,84,200.0,0.0,335,29.0,3.75,30.0,0.5,550,5.5,0.65,50.0,0.0,48.0,3.75,3.4,0.625,7,7,4,3,1,1,0,0,0,0,580.0,90,350.0,50.0,340,31.0,4.0,32.0,1.25,150,9.0,0.75,6.25,0.5,60.0,3.0,2.0,0.625,3,4,8,5,0,0,1,1,0,0,525.0,115,280.0,50.0,340,27.0,4.0,32.0,1.75,175,9.0,0.9,7.0,0.8,61.0,3.0,3.5,0.645,7,3,2,4,0,0,0,0,1,1,570.0,87,280.0,32.0,325,26.0,3.4,30.0,0.5,600,3.5,0.55,6.972,0.4,61.0,2.96,3.33,0.658,1,6,8,1,0,0,1,0,1,0,560.0,90,340.0,60.0,335,25.0,3.8,30.0,0.5,450,5.5,0.4,11.0,0.4,56.0,3.5,1.53,0.625,8,5,3,6,0,0,0,0,0,1,571.0,86,348.88,38.0,335,28.0,3.0,30.0,0.5,500,3.75,0.65,8.176,0.7,64.0,2.75,3.3,0.638,8,5,3,3,0,0,0,0,0,1,555.0,92,325.0,40.0,340,33.0,3.4,32.0,1.25,425,8.0,0.7,8.0,0.7,68.0,3.0,2.6,0.475,6,3,8,9,0,0,1,0,0,1,552.0,92,480.0,21.0,335,19.04,3.0,30.0,0.5,525,7.0,0.75,8.0,0.8,52.0,2.8,3.0,0.625,8,2,2,6,0,0,0,0,0,1,510.0,93,313.7,35.0,330,28.0,3.5,30.0,0.5,650,3.5,0.55,7.4,0.55,64.0,2.88,4.0,0.681,4,5,7,5,0,0,1,0,1,0,525.0,74,350.0,55.0,330,29.0,3.7,30.0,0.5,550,6.0,0.6,11.0,0.6,47.0,2.6,2.25,0.625,0.23636363636363636,0.5,-0.26363636363636367
5981-7372,LPL,Invictus Gaming,LGD Gaming,Rumble,Nidalee,Lucian,Varus,Braum,Maokai,Gragas,Qiyana,MissFortune,Thresh,3,6,8,10,1,0,1,0,0,0,589.0,85,100.0,0.0,345,31.0,3.5,32.1,1.25,125,8.0,0.6,0.0,0.0,61.0,3.2,1.85,0.644,5,4,7,8,0,0,1,1,0,0,545.0,85,295.6,45.0,335,28.0,3.5,30.0,0.5,525,6.0,0.6,6.0,0.8,61.0,3.5,3.22,0.638,8,5,3,6,0,0,0,0,0,1,571.0,86,348.88,38.0,335,28.0,3.0,30.0,0.5,500,3.75,0.65,8.176,0.7,64.0,2.75,3.3,0.638,7,3,4,2,0,0,1,0,0,1,530.0,91,360.0,33.0,330,27.0,3.4,30.0,0.5,575,3.5,0.55,8.0,0.8,61.0,3.0,3.0,0.658,3,9,4,3,0,1,0,0,1,0,540.0,98,310.6,45.0,335,47.0,4.0,32.1,1.25,125,8.5,1.0,6.0,0.8,55.376,3.2,3.5,0.644,3,8,6,3,0,1,1,0,0,0,565.0,95,375.0,43.0,335,39.0,4.0,32.1,1.25,125,5.0,0.75,7.2,0.6,63.54,3.3,2.125,0.8,4,7,6,5,1,0,1,0,0,0,600.0,95,400.0,47.0,330,35.0,3.6,32.1,1.25,125,5.5,0.5,6.0,0.8,64.0,3.5,2.05,0.675,0,2,4,8,1,0,0,1,0,0,590.0,90,320.0,50.0,335,28.0,3.5,32.1,1.25,150,8.5,0.65,8.0,0.7,64.0,3.1,2.1,0.625,8,2,5,1,0,0,0,0,0,1,570.0,93,325.84,35.0,325,28.0,3.0,30.0,0.5,550,3.75,0.65,8.042,0.65,52.0,2.7,2.25,0.656,5,6,6,7,1,0,0,0,1,0,560.52,93,273.92,44.0,335,28.0,0.0,30.0,0.5,450,7.0,0.55,6.0,0.8,56.0,2.2,3.5,0.625,0.5,0.07142857142857142,0.4285714285714286
6170-7775,LDL,All Combo,EDG Youth Team,Kennen,Trundle,Leblanc,Aphelios,Leona,Aatrox,Graves,Kassadin,Varus,Alistar,6,4,7,4,0,0,1,0,0,1,541.0,84,200.0,0.0,335,29.0,3.75,30.0,0.5,550,5.5,0.65,50.0,0.0,48.0,3.75,3.4,0.625,7,6,2,5,1,1,0,0,0,0,616.0,96,281.0,45.0,350,37.0,2.7,32.1,1.25,175,6.0,0.75,7.5,0.6,68.0,3.0,2.9,0.67,1,4,10,9,0,0,1,1,0,0,528.0,92,334.0,50.0,340,21.88,3.5,30.0,0.5,525,7.5,0.55,6.0,0.8,54.88,3.5,1.4,0.625,6,2,1,10,0,0,0,0,0,1,530.0,88,348.0,42.0,325,28.0,3.0,26.0,0.5,550,3.25,0.55,6.5,0.4,57.0,2.0,2.1,0.64,4,8,3,4,0,1,0,0,1,0,576.16,87,302.2,40.0,335,47.0,3.6,32.1,1.25,125,8.5,0.85,6.0,0.8,60.04,3.0,2.9,0.625,8,4,3,4,1,1,0,0,0,0,580.0,90,0.0,0.0,345,38.0,3.25,32.1,1.25,175,3.0,1.0,0.0,0.0,60.0,5.0,2.5,0.651,8,5,3,3,0,0,0,0,0,1,555.0,92,325.0,40.0,340,33.0,3.4,32.0,1.25,425,8.0,0.7,8.0,0.7,68.0,3.0,2.6,0.475,3,5,8,8,0,0,1,1,0,0,576.0,90,397.6,67.0,335,19.0,2.8,30.0,0.5,150,6.0,0.5,6.0,0.8,58.852,3.9,3.7,0.64,7,3,4,2,0,0,1,0,0,1,530.0,91,360.0,33.0,330,27.0,3.4,30.0,0.5,575,3.5,0.55,8.0,0.8,61.0,3.0,3.0,0.658,6,9,5,7,0,1,0,0,1,0,600.0,106,350.0,40.0,330,44.0,3.5,32.1,1.25,125,8.5,0.85,8.5,0.8,62.0,3.75,2.125,0.625,0.4024390243902439,0.6185567010309279,-0.21611767664068393
5975-7357,LPL,Rogue Warriors,EDward Gaming,Renekton,Trundle,Azir,Aphelios,Thresh,Mordekaiser,JarvanIV,Zoe,MissFortune,Braum,8,5,2,3,1,1,0,0,0,0,575.0,87,100.0,0.0,345,35.0,4.0,32.1,1.25,125,8.0,0.75,0.0,0.0,69.0,3.75,2.75,0.665,7,6,2,5,1,1,0,0,0,0,616.0,96,281.0,45.0,350,37.0,2.7,32.1,1.25,175,6.0,0.75,7.5,0.6,68.0,3.0,2.9,0.67,6,3,8,9,0,0,1,0,0,1,552.0,92,480.0,21.0,335,19.04,3.0,30.0,0.5,525,7.0,0.75,8.0,0.8,52.0,2.8,3.0,0.625,6,2,1,10,0,0,0,0,0,1,530.0,88,348.0,42.0,325,28.0,3.0,26.0,0.5,550,3.25,0.55,6.5,0.4,57.0,2.0,2.1,0.64,5,6,6,7,1,0,0,0,1,0,560.52,93,273.92,44.0,335,28.0,0.0,30.0,0.5,450,7.0,0.55,6.0,0.8,56.0,2.2,3.5,0.625,4,6,7,4,1,0,0,0,0,0,575.0,90,100.0,0.0,335,37.0,3.0,32.0,1.25,175,5.0,0.75,0.0,0.0,61.0,4.0,1.0,0.625,6,8,3,5,1,1,0,0,0,0,570.0,90,300.0,40.0,340,34.0,3.6,32.1,1.25,175,8.0,0.7,6.5,0.45,64.0,3.4,2.5,0.658,1,7,8,5,0,0,1,0,1,0,560.0,92,425.0,25.0,340,20.8,3.5,30.0,0.5,550,6.5,0.6,8.0,0.65,58.0,3.3,2.5,0.625,8,2,5,1,0,0,0,0,0,1,570.0,93,325.84,35.0,325,28.0,3.0,30.0,0.5,550,3.75,0.65,8.042,0.65,52.0,2.7,2.25,0.656,3,9,4,3,0,1,0,0,1,0,540.0,98,310.6,45.0,335,47.0,4.0,32.1,1.25,125,8.5,1.0,6.0,0.8,55.376,3.2,3.5,0.644,0.6,0.25,0.35
